Image,Caption
SpB0001.jpg,a young girl playing with a ball on a street
SpB0003.jpg,a young boy is playing tennis on a court
SpB0004.jpg,two girls playing a game of tennis on a court
SpB0002.jpg,two children playing with a ball in a gymnasium
SpB0005.jpg,young men playing a game of basketball
SpB0007.jpg,young people playing a game of soccer
SpB0008.jpg,a young man is playing a game of basketball
SpB0006.jpg,a man jumping in the air to catch a frisbee
SpB0009.jpg,young girls playing a game of frisbee
SpB0010.jpg,a little boy standing on a tennis court holding a racquet
SpB0012.jpg,young people playing a game of frisbee
SpB0011.jpg,two girls are playing a game of basketball
SpB0013.jpg,a man and a boy are playing with a basketball
SpB0014.jpg,a man is holding a basketball in his hand
SpB0015.jpg,a woman holding a tennis racquet on top of a tennis court
SpB0016.jpg,a young boy and girl playing a game of frisbee
SpB0017.jpg,a girl is playing a game of basketball on the court
SpB0018.jpg,young people playing a game of frisbee
SpB0019.jpg,a basketball game is being played on a court
SpB0020.jpg,a man hitting a tennis ball with a racquet
SpB0021.jpg,a girl in a red dress kicking a soccer ball
SpB0022.jpg,a woman is playing a game of basketball on a court
SpB0023.jpg,a man and a boy playing a game of soccer
SpB0024.jpg,young men playing a game of basketball
SpB0025.jpg,a woman standing on a tennis court holding a racquet
SpS0002.jpg,a woman kicking a soccer ball on a field
SpS0003.jpg,young girls playing a game of soccer
SpS0004.jpg,young men playing soccer on a field
SpS0001.jpg,a woman kicking a soccer ball on a field
SpS0005.jpg,a man kicking a soccer ball on a field
SpS0006.jpg,a man kicking a soccer ball on a field
SpS0007.jpg,a girl kicking a soccer ball on a field
SpS0008.jpg,a man kicking a soccer ball on a field
SpS0009.jpg,a man kicking a soccer ball on a field
SpS0010.jpg,a female soccer player kicking a soccer ball
SpS0011.jpg,a young girl kicking a soccer ball on a field
SpS0012.jpg,a woman kicking a soccer ball on a field
SpS0013.jpg,a woman kicking a soccer ball on a field
SpS0014.jpg,two men are playing soccer on a field
SpS0015.jpg,young people playing soccer on a field
SpS0016.jpg,a young boy kicking a soccer ball on a field
SpS0017.jpg,young men playing a game of soccer
SpS0018.jpg,a woman kicking a soccer ball on a field
SpS0019.jpg,a young man kicking a soccer ball on a field
SpS0020.jpg,young girls playing a game of soccer
SpS0021.jpg,a man running with a soccer ball on a field
SpS0022.jpg,a soccer player on a field with a soccer ball
SpS0023.jpg,young girls playing a game of soccer
SpS0024.jpg,a man kicking a soccer ball on a field
SpS0025.jpg,a young girl kicking a soccer ball in the air
DC0002.jpg,a girl and a boy skateboarding down a street
DC0001.jpg,a man walking a dog on a city street
DC0004.jpg,a woman and a man walking down the street
DC0003.jpg,a police officer standing next to a man in a police uniform
DC0005.jpg,a man and woman standing next to each other on a sidewalk
DC0006.jpg,a man walking down a sidewalk holding a pair of scissors
DC0007.jpg,a man walking his dog on a leash
DC0008.jpg,a man on a skateboard in a parking lot
DC0010.jpg,a man standing next to a train at a train station
DC0011.jpg,a woman standing next to a man on a sidewalk
DC0012.jpg,a man standing on a sidewalk holding a skateboard
DC0009.jpg,a woman walking down the street with a skateboard
DC0013.jpg,a man in a suit and tie standing in front of a building
DC0017.jpg,a man in a suit walking down the street
DC0020.jpg,a man holding a dog in his right hand
DC0021.jpg,a man sitting on the grass with a dog
DC0019.jpg,a young girl holding a tennis racquet on a tennis court
DC0022.jpg,a man sitting on a bench with a dog
DC0024.jpg,a man walking down the street with a skateboard
DC0023.jpg,a woman walking down a street with a skateboard
DC0025.jpg,a man walking down a street with an umbrella
DC0014.jpg,a man standing next to a dog on a sidewalk
DC0015.jpg,a man holding a tennis racquet on a sidewalk
DC0016.jpg,a man walking down a street with a cane
DC0018.jpg,a woman holding a dog on a leash next to a skateboard
DG0001.jpg,a man and a dog walking down the street
DG0002.jpg,a man walking a dog down a street with a skateboard
DG0003.jpg,a man walking his dog down the street
DG0004.jpg,a man walking down the street with a skateboard
DG0006.jpg,a woman walking a dog on a leash on a city street
DG0005.jpg,a man with a dog walking down the street
DG0007.jpg,a woman and a dog are walking down the street
DG0008.jpg,a woman walking with a dog on a train platform
DG0009.jpg,a man and a woman walking a dog on a leash
DG0010.jpg,a man walking a dog on a leash
DG0011.jpg,a man with a dog on a leash walking down a sidewalk
DG0012.jpg,a woman and a dog are walking down the stairs
DG0013.jpg,a woman sitting on the sidewalk with a dog
DG0014.jpg,a woman walking a dog on a leash
DG0015.jpg,a woman and a dog walking down a sidewalk
DG0016.jpg,a woman walking a dog on a beach
DG0017.jpg,a man walking down the street with a dog
DG0018.jpg,a person with a dog on a leash on a city street
DG0019.jpg,a dog running with a frisbee in its mouth
DG0020.jpg,a man and a woman walking a dog on a leash
DG0021.jpg,a man walking a dog on a leash
DG0022.jpg,a woman walking down the street with a dog
DG0023.jpg,a woman walking a dog on a leash
DG0024.jpg,a man in a suit and tie walking a dog
DG0025.jpg,a man walking his dog through the woods
DW0002.jpg,a man is sitting on a skateboard in the middle of the road
DW0001.jpg,a man sitting on a wheel chair in the middle of a road
DW0004.jpg,a man and a woman are sitting on a wheelchair
DW0006.jpg,a woman in a wheelchair rides a bike down the street
DW0005.jpg,a woman sitting on a tennis court holding a racquet
DW0007.jpg,a man sitting on a wheelchair in a room
DW0009.jpg,a woman sitting on top of a wheel chair
DW0008.jpg,a man in a wheelchair sitting on a bed
DW0010.jpg,a person sitting on a chair in the snow
DW0011.jpg,a man is sitting on a tennis court holding a racquet
DW0012.jpg,a man in a suit and tie sitting in front of a building
DW0013.jpg,a man and a woman sitting on a bench
DW0014.jpg,a man riding a bike down a sidewalk
DW0015.jpg,a woman sitting on a wheel chair in a room
DW0016.jpg,a man sitting on a wheel chair in a wheelchair
DW0017.jpg,a man sitting on a bike in the middle of the road
DW0018.jpg,a man sitting on a couch using a laptop
DW0019.jpg,a person riding a bike on top of a wooden bench
DW0020.jpg,a man is sitting on a wheel chair
DW0021.jpg,a woman riding a bicycle down a street
DW0022.jpg,a man sitting on a chair in front of a window
DW0024.jpg,a young girl riding a small blue and white cart
DW0003.jpg,a man is sitting in a wheelchair in an airport
DW0023.jpg,a man in a wheelchair sitting on a couch
DW0025.jpg,a little girl sitting on a bench in front of a bus
SpB0001_CO.jpg,a young woman walking down a street holding a frisbee
SpB0003_CO.jpg,a young boy playing tennis on a tennis court
SpB0004_CO.jpg,a girl and a boy playing tennis on a tennis court
SpB0002_CO.jpg,two children playing with a soccer ball in a gymnasium
SpB0005_CO.jpg,young women playing a game of soccer
SpB0007_CO.jpg,young people playing a game of frisbee
SpB0008_CO.jpg,a young man holding a tennis racquet on a tennis court
SpB0006_CO.jpg,a man jumping in the air to catch a basketball
SpB0009_CO.jpg,young girls are playing frisbee on the street
SpB0010_CO.jpg,a little boy standing on top of a tennis court
SpB0012_CO.jpg,young people playing a game of frisbee
SpB0011_CO.jpg,three girls in a gymnasium holding tennis racquets
SpB0013_CO.jpg,a man in a black shirt and a man in a white shirt
SpB0014_CO.jpg,a man and a woman are playing a game on a cell phone
SpB0015_CO.jpg,a woman holding a tennis racquet on top of a tennis court
SpB0016_CO.jpg,a boy and a girl playing with a skateboard
SpB0017_CO.jpg,a woman holding a ball in her hands
SpB0018_CO.jpg,young people playing a game of frisbee
SpB0019_CO.jpg,a basketball game is being played on the court
SpB0020_CO.jpg,a man hitting a tennis ball with a racquet
SpB0021_CO.jpg,a girl in a skirt is running with a baseball bat
SpB0022_CO.jpg,a professional basketball game being played on a court
SpB0023_CO.jpg,a man and a woman standing on a tennis court
SpB0024_CO.jpg,a man on a skateboard in the middle of a parking lot
SpB0025_CO.jpg,a woman standing on a sidewalk holding a tennis racquet
SpS0002_CO.jpg,a female soccer player in action on the field
SpS0003_CO.jpg,young girls playing a game of soccer
SpS0004_CO.jpg,young men playing a game of soccer
SpS0001_CO.jpg,a woman kicking a soccer ball on a field
SpS0005_CO.jpg,a man in white shirt and shorts playing a game of soccer
SpS0006_CO.jpg,a man kicking a soccer ball on a field
SpS0007_CO.jpg,a young girl is playing soccer on a field
SpS0008_CO.jpg,a man jumping in the air to kick a soccer ball
SpS0009_CO.jpg,a man kicking a soccer ball on a field
SpS0010_CO.jpg,a girl in a red dress is running on a field
SpS0011_CO.jpg,a soccer player in action on the field
SpS0012_CO.jpg,a woman kicking a soccer ball on a field
SpS0013_CO.jpg,a woman is playing soccer on a field
SpS0014_CO.jpg,men playing a game of soccer
SpS0015_CO.jpg,people playing soccer on a field
SpS0016_CO.jpg,a young boy running in the grass with a frisbee
SpS0017_CO.jpg,young men playing a game of soccer
SpS0018_CO.jpg,a woman running across a field with a soccer ball
SpS0019_CO.jpg,a young man kicking a soccer ball on a field
SpS0020_CO.jpg,young girls playing a game of soccer
SpS0021_CO.jpg,a man running with a soccer ball on a field
SpS0022_CO.jpg,a woman walking on a field with a soccer ball
SpS0023_CO.jpg,young girls playing a game of soccer
SpS0024_CO.jpg,a man kicking a soccer ball on a field
SpS0025_CO.jpg,a young girl jumping in the air to catch a soccer ball
DC0002_CO.jpg,a girl and a boy on a skateboard on a street
DC0001_CO.jpg,a man walking down the street with a skateboard
DC0004_CO.jpg,a woman and a man walking down the street
DC0003_CO.jpg,a police officer standing next to a man in a police uniform
DC0005_CO.jpg,a man and woman standing next to each other
DC0006_CO.jpg,a man in a suit walking down a sidewalk
DC0007_CO.jpg,a man walking a dog on a leash
DC0008_CO.jpg,a man standing in a parking lot holding a cell phone
DC0010_CO.jpg,people standing next to a subway train
DC0011_CO.jpg,a woman standing next to a man on a sidewalk
DC0012_CO.jpg,a man in a suit and tie standing on a sidewalk
DC0009_CO.jpg,a woman walking down the street with a skateboard
DC0013_CO.jpg,a man in a suit and tie standing in front of a building
DC0017_CO.jpg,a man in a suit and tie standing on a sidewalk
DC0020_CO.jpg,a man with a dog on a leash walking down the street
DC0021_CO.jpg,a man sitting on the grass with a dog
DC0019_CO.jpg,a little girl standing in front of a door
DC0022_CO.jpg,a man sitting on a bench next to a park bench
DC0024_CO.jpg,a man walking down the street with a skateboard
DG0001_CO.jpg,a man and a woman walking down the street
DG0002_CO.jpg,a man is running with a skateboard in the street
DG0003_CO.jpg,a man walking down the street with a cane
DG0004_CO.jpg,a man riding a skateboard down a street
DG0006_CO.jpg,a woman standing on a sidewalk with a bicycle
DG0005_CO.jpg,a man walking down the street with a skateboard
DG0007_CO.jpg,a man and a woman standing on a sidewalk
DG0008_CO.jpg,a woman standing on a platform with a train
DG0009_CO.jpg,two young men are playing a game of frisbee
DG0010_CO.jpg,a man in a suit and tie walking down a sidewalk
DG0011_CO.jpg,a man in a suit and tie walking down a stairway
DG0012_CO.jpg,a woman standing on a stairway holding a skateboard
DG0013_CO.jpg,a woman standing on a sidewalk talking on a cell phone
DG0014_CO.jpg,a woman walking on a sidewalk holding a skateboard
DG0015_CO.jpg,two women walking down the street with luggage
DG0016_CO.jpg,a woman standing on a beach holding a skateboard
DG0017_CO.jpg,a man walking down a street with a skateboard
DG0018_CO.jpg,a man in a suit walking down a street
DG0019_CO.jpg,a man running on a field with a soccer ball
DG0020_CO.jpg,young men playing a game of frisbee
DG0021_CO.jpg,a man walking down a sidewalk next to a group of people
DG0022_CO.jpg,a woman walking down the street with an umbrella
DG0023_CO.jpg,a woman walking down the street with a skateboard
DG0024_CO.jpg,a man in a suit and tie walking down a sidewalk
DG0025_CO.jpg,a dog standing in the middle of a forest
DW0002_CO.jpg,a man flying through the air while holding a kite
DW0001_CO.jpg,a man is walking down the road with a backpack
DW0004_CO.jpg,a man and a woman on a skateboard
DW0006_CO.jpg,a woman walking down the street with a bag
DW0005_CO.jpg,a female tennis player in action on the court
DW0007_CO.jpg,a man sitting on a chair in a room
DW0009_CO.jpg,a woman is sitting on a sidewalk with a skateboard
DW0008_CO.jpg,a man sitting on a bed in a room
DW0010_CO.jpg,a person on a snowboard in the snow
DW0011_CO.jpg,a man swinging a tennis racket on a tennis court
DW0012_CO.jpg,a man in a suit and tie sitting on a sidewalk
DW0013_CO.jpg,a man and a woman sitting on a bench
DW0014_CO.jpg,a man riding a bike down a sidewalk
DW0015_CO.jpg,a woman sitting on a chair in a room
DW0016_CO.jpg,a man wearing a suit and tie standing in front of a wall
DW0017_CO.jpg,a man laying on the ground with a skateboard
DW0018_CO.jpg,a man sitting on a couch using a laptop
DW0019_CO.jpg,a person on a skateboard in the middle of a forest
DW0020_CO.jpg,a man sitting on top of a white toilet
DW0021_CO.jpg,a woman riding a skateboard down a street
DW0022_CO.jpg,a man sitting on a chair in front of a window
DW0024_CO.jpg,a young girl is holding a skateboard in her hand
DC0023_CO.jpg,a woman walking down a street with a skateboard
DC0025_CO.jpg,a man walking down a street with a skateboard
DC0014_CO.jpg,a man standing next to a dog on a sidewalk
DC0015_CO.jpg,a man standing on a sidewalk next to a building
DC0016_CO.jpg,a man walking down a street with a backpack
