ID,Category,Object Label
DW0001,disability,wheelchair
DW0002,disability,wheelchair
DW0003,disability,wheelchair
DW0004,disability,wheelchair
DW0005,disability,wheelchair
DW0006,disability,wheelchair
DW0007,disability,wheelchair
DW0008,disability,wheelchair
DW0009,disability,wheelchair
DW0010,disability,wheelchair
DW0011,disability,wheelchair
DW0012,disability,wheelchair
DW0013,disability,wheelchair
DW0014,disability,wheelchair
DW0015,disability,wheelchair
DW0016,disability,wheelchair
DW0017,disability,wheelchair
DW0018,disability,wheelchair
DW0019,disability,wheelchair
DW0020,disability,wheelchair
DW0021,disability,wheelchair
DW0022,disability,wheelchair
DW0023,disability,wheelchair
DW0024,disability,wheelchair
DW0025,disability,wheelchair
DC0001,disability,white cane
DC0002,disability,white cane
DC0003,disability,white cane
DC0004,disability,white cane
DC0005,disability,white cane
DC0006,disability,white cane
DC0007,disability,white cane
DC0008,disability,white cane
DC0009,disability,white cane
DC0010,disability,white cane
DC0011,disability,white cane
DC0012,disability,white cane
DC0013,disability,white cane
DC0014,disability,white cane
DC0015,disability,white cane
DC0016,disability,white cane
DC0017,disability,white cane
DC0018,disability,white cane
DC0019,disability,white cane
DC0020,disability,white cane
DC0021,disability,white cane
DC0022,disability,white cane
DC0023,disability,white cane
DC0024,disability,white cane
DC0025,disability,white cane
DG0001,disability,service dog
DG0002,disability,service dog
DG0003,disability,service dog
DG0004,disability,service dog
DG0005,disability,service dog
DG0006,disability,service dog
DG0007,disability,service dog
DG0008,disability,service dog
DG0009,disability,service dog
DG0010,disability,service dog
DG0011,disability,service dog
DG0012,disability,service dog
DG0013,disability,service dog
DG0014,disability,service dog
DG0015,disability,service dog
DG0016,disability,service dog
DG0017,disability,service dog
DG0018,disability,service dog
DG0019,disability,service dog
DG0020,disability,service dog
DG0021,disability,service dog
DG0022,disability,service dog
DG0023,disability,service dog
DG0024,disability,service dog
DG0025,disability,service dog
SpB0001,sports,basketball
SpB0002,sports,basketball
SpB0003,sports,basketball
SpB0004,sports,basketball
SpB0005,sports,basketball
SpB0006,sports,basketball
SpB0007,sports,basketball
SpB0008,sports,basketball
SpB0009,sports,basketball
SpB0010,sports,basketball
SpB0011,sports,basketball
SpB0012,sports,basketball
SpB0013,sports,basketball
SpB0014,sports,basketball
SpB0015,sports,basketball
SpB0016,sports,basketball
SpB0017,sports,basketball
SpB0018,sports,basketball
SpB0019,sports,basketball
SpB0020,sports,basketball
SpB0021,sports,basketball
SpB0022,sports,basketball
SpB0023,sports,basketball
SpB0024,sports,basketball
SpB0025,sports,basketball
SpS0001,sports,soccer ball
SpS0002,sports,soccer ball
SpS0003,sports,soccer ball
SpS0004,sports,soccer ball
SpS0005,sports,soccer ball
SpS0006,sports,soccer ball
SpS0007,sports,soccer ball
SpS0008,sports,soccer ball
SpS0009,sports,soccer ball
SpS0010,sports,soccer ball
SpS0011,sports,soccer ball
SpS0012,sports,soccer ball
SpS0013,sports,soccer ball
SpS0014,sports,soccer ball
SpS0015,sports,soccer ball
SpS0016,sports,soccer ball
SpS0017,sports,soccer ball
SpS0018,sports,soccer ball
SpS0019,sports,soccer ball
SpS0020,sports,soccer ball
SpS0021,sports,soccer ball
SpS0022,sports,soccer ball
SpS0023,sports,soccer ball
SpS0024,sports,soccer ball
SpS0025,sports,soccer ball
