Image,Caption
DC0001.jpg,a man walking his dog across the street
DC0002.jpg,a woman and a child walking down a street
DC0003.jpg,a woman is escorted by police officers
DC0004.jpg,a man and woman crossing the street with a cane
DC0005.jpg,a man and woman walking down a sidewalk
DC0006.jpg,a man with a broom and a broom on the sidewalk
DC0007.jpg,a man walking his dog on a leash
DC0008.jpg,a man is walking with a golf club
DC0009.jpg,a young boy is walking across the street with a golf club
DC0010.jpg,a man standing on a platform with a stick
DC0011.jpg,a woman walking a dog down a sidewalk
DC0012.jpg,a man with a cane walking down the street
DC0013.jpg,a man in a suit and tie walking down a sidewalk
DC0014.jpg,a man walking a dog
DC0015.jpg,a man walking down a sidewalk with a cane
DC0016.jpg,a man walking down the street with a cane
DC0017.jpg,a man walking down the street with a cane
DC0018.jpg,a woman kneeling down to pet a dog
DC0019.jpg,a little girl standing on the steps of a building
DC0020.jpg,a man taking a picture of a dog
DC0021.jpg,a man sitting on the grass with a dog
DC0022.jpg,a man sitting on a bench with a dog
DC0023.jpg,a woman crosses a street in beijing
DC0024.jpg,a man walking across a crosswalk with a cane
DC0025.jpg,a man walking down the street with a cane
DG0001.jpg,a man walking his dog across the street
DG0002.jpg,a group of people running in a marathon
DG0003.jpg,a man walking a dog down the street
DG0004.jpg,a man walking his dog across the street
DG0005.jpg,a man walking a dog down a mall
DG0006.jpg,a woman walking her dog across a crosswalk
DG0007.jpg,a woman walking a dog
DG0008.jpg,a woman walking a dog on a leash
DG0009.jpg,two people walking their dog on a leash
DG0010.jpg,a man walking a dog down a sidewalk
DG0011.jpg,a man walking his dog down the stairs stock images
DG0012.jpg,a woman is walking down the escalator with her dog stock images
DG0013.jpg,a man is sitting on the ground with his dog
DG0014.jpg,a woman walking her dog on a leash in the park stock images
DG0015.jpg,two women walking a dog in a garden
DG0016.jpg,a woman walking her dog on a leash
DG0017.jpg,a man walking a dog down the street
DG0018.jpg,a man in a suit and tie walking his dog across the street - stock image
DG0019.jpg,a man walking a dog on a leash
DG0020.jpg,a dog running in a race with people
DG0021.jpg,a man walking his dog down a sidewalk
DG0022.jpg,a woman walking a dog across a crosswalk
DG0023.jpg,a woman walking her dog in the park
DG0024.jpg,a man walking a dog down a sidewalk
DG0025.jpg,a man walking a dog through the woods
DW0001.jpg,a man in a wheelchair on a path
DW0002.jpg,a man in a wheelchair with a chinese flag
DW0003.jpg,a man in a wheelchair in a hospital hallway
DW0004.jpg,a woman in a wheelchair with a young girl in a wheelchair
DW0005.jpg,a woman in a wheelchair playing tennis
DW0006.jpg,a woman in a wheelchair
DW0007.jpg,a man in a wheelchair with a stel
DW0008.jpg,a man in a wheelchair sits in a room
DW0009.jpg,a woman in a wheelchair with headphones on
DW0010.jpg,a woman in a wheelchair in the snow
DW0011.jpg,a young boy in a wheelchair playing tennis
DW0012.jpg,a man in a wheelchair outside
DW0013.jpg,a woman in a wheelchair with an elderly man in a park
DW0014.jpg,a man in a wheelchair
DW0015.jpg,a young girl in a wheelchair in a hospital hallway
DW0016.jpg,a man in a wheelchair
DW0017.jpg,a man in a wheelchair with a broken leg
DW0018.jpg,a man in a wheelchair with his head in his hands
DW0019.jpg,a man in a wheelchair taking a photo of a park
DW0020.jpg,a man in a wheelchair
DW0021.jpg,a man in a wheelchair
DW0022.jpg,a man in a wheelchair looking out the window
DW0023.jpg,a man in a wheelchair sits on the floor
DW0024.jpg,a little girl in a wheelchair
DW0025.jpg,young woman in wheelchair waiting for bus stock photos
SpB0001.jpg,a little girl playing with a basketball ball
SpB0002.jpg,two young girls playing basketball in a gym
SpB0003.jpg,a young boy playing basketball on a court
SpB0004.jpg,two young boys playing basketball on a court
SpB0005.jpg,a woman in a black and yellow uniform is trying to get the ball from a woman in a purple
SpB0006.jpg,a man jumping in the air with a basketball ball
SpB0007.jpg,a group of people playing basketball on a court
SpB0008.jpg,a young boy playing basketball on a court
SpB0009.jpg,three young girls playing basketball on a court
SpB0010.jpg,a young boy playing with a ball in the playground royalty image
SpB0011.jpg,group of young women playing basketball in gym stock photo
SpB0012.jpg,group of young children playing basketball in the park
SpB0013.jpg,an older man and an older man playing basketball on a court
SpB0014.jpg,an older man playing basketball with his grandson
SpB0015.jpg,young couple playing basketball on court
SpB0016.jpg,two young children playing basketball on a basketball court
SpB0017.jpg,a young girl in a blue uniform holding a basketball ball
SpB0018.jpg,a man and a little girl playing basketball in a gym stock images
SpB0019.jpg,a basketball player is going to the basket
SpB0020.jpg,two men playing basketball on an outdoor court
SpB0021.jpg,a woman holding a basketball ball
SpB0022.jpg,a group of women playing basketball in a game
